Blender 2.82 (sub 7) (hash 375c7dc4caf4 built 2020-03-12 05:30:40)
found bundled python: /usr/local/blender/2.82/python
Read blend: /blender/scene.blend
Fra:1 Mem:78.46M (0.00M, Peak 78.46M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Cube
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Synchronizing object | Plane
Fra:1 Mem:78.47M (0.00M, Peak 78.47M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Initializing
Fra:1 Mem:78.28M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Waiting for render to start
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene
Fra:1 Mem:78.30M (0.00M, Peak 78.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Shaders
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Background
Fra:1 Mem:78.80M (0.00M, Peak 78.80M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes Flags
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Copying Transformations to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects | Applying Static Transformations
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Hair settings | Copying Hair settings to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Meshes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing attributes
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Building BVH
Fra:1 Mem:78.80M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh BVH Cube 1/1 | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Building BVH
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH triangles and strands
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Packing BVH nodes
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.09 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Computing normals
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Objects Flags
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Images
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Camera Volume
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Lights | Computing distribution
Fra:1 Mem:78.81M (0.00M, Peak 79.05M) | Time:00:00.10 | Mem:0.26M, Peak:0.26M | Scene, View Layer | Updating Integrator
Fra:1 Mem:80.08M (0.00M, Peak 80.08M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Film
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.28M, Peak:1.53M | Scene, View Layer | Updating Lookup Tables
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Baking
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory | Compiling render kernels
Fra:1 Mem:80.09M (0.00M, Peak 80.34M) | Time:00:00.10 | Mem:1.53M, Peak:1.53M | Scene, View Layer | Updating Device | Writing constant memory
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.18 | Remaining:00:10.41 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 413/510 Tiles, Denoised 375 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.18 | Remaining:00:10.36 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 414/510 Tiles, Denoised 375 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:42.25 | Remaining:00:10.35 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 414/510 Tiles, Denoised 376 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:42.26 | Remaining:00:10.33 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 414/510 Tiles, Denoised 377 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.32 | Remaining:00:10.16 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 415/510 Tiles, Denoised 377 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.33 | Remaining:00:10.14 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 416/510 Tiles, Denoised 377 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:42.44 | Remaining:00:10.14 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 416/510 Tiles, Denoised 378 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.50 | Remaining:00:10.05 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 417/510 Tiles, Denoised 378 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:42.52 | Remaining:00:10.03 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 417/510 Tiles, Denoised 379 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:42.57 | Remaining:00:09.94 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 417/510 Tiles, Denoised 380 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.58 | Remaining:00:09.92 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 418/510 Tiles, Denoised 380 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:42.65 | Remaining:00:09.83 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 419/510 Tiles, Denoised 380 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:42.74 | Remaining:00:09.83 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 419/510 Tiles, Denoised 381 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:42.79 | Remaining:00:09.74 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 420/510 Tiles, Denoised 381 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:42.94 | Remaining:00:09.74 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 420/510 Tiles, Denoised 382 tiles
Fra:1 Mem:148.42M (0.00M, Peak 150.87M) | Time:00:42.97 | Remaining:00:09.73 | Mem:69.87M, Peak:72.17M | Scene, View Layer | Rendered 420/510 Tiles, Denoised 383 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:43.03 | Remaining:00:09.64 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 421/510 Tiles, Denoised 383 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.09 | Remaining:00:09.55 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 422/510 Tiles, Denoised 383 tiles
Fra:1 Mem:149.05M (0.00M, Peak 150.87M) | Time:00:43.10 | Remaining:00:09.53 | Mem:70.49M, Peak:72.17M | Scene, View Layer | Rendered 422/510 Tiles, Denoised 384 tiles
Fra:1 Mem:149.05M (0.00M, Peak 150.87M) | Time:00:43.11 | Remaining:00:09.50 | Mem:70.49M, Peak:72.17M | Scene, View Layer | Rendered 422/510 Tiles, Denoised 385 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.17 | Remaining:00:09.34 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 423/510 Tiles, Denoised 385 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.18 | Remaining:00:09.32 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 424/510 Tiles, Denoised 385 tiles
Fra:1 Mem:149.05M (0.00M, Peak 150.87M) | Time:00:43.28 | Remaining:00:09.31 | Mem:70.49M, Peak:72.17M | Scene, View Layer | Rendered 424/510 Tiles, Denoised 386 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.34 | Remaining:00:09.22 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 425/510 Tiles, Denoised 386 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:43.35 | Remaining:00:09.20 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 425/510 Tiles, Denoised 387 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:43.42 | Remaining:00:09.11 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 425/510 Tiles, Denoised 388 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.43 | Remaining:00:09.09 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 426/510 Tiles, Denoised 388 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.49 | Remaining:00:09.01 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 427/510 Tiles, Denoised 388 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:43.58 | Remaining:00:09.00 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 427/510 Tiles, Denoised 389 tiles
Fra:1 Mem:149.56M (0.00M, Peak 150.87M) | Time:00:43.64 | Remaining:00:08.89 | Mem:71.01M, Peak:72.17M | Scene, View Layer | Rendered 428/510 Tiles, Denoised 389 tiles
Fra:1 Mem:148.42M (0.00M, Peak 150.87M) | Time:00:43.65 | Remaining:00:08.89 | Mem:69.86M, Peak:72.17M | Scene, View Layer | Rendered 428/510 Tiles, Denoised 390 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:43.72 | Remaining:00:08.80 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 429/510 Tiles, Denoised 390 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:43.84 | Remaining:00:08.80 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 429/510 Tiles, Denoised 391 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:43.90 | Remaining:00:08.71 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 430/510 Tiles, Denoised 391 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:43.95 | Remaining:00:08.70 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 430/510 Tiles, Denoised 392 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:43.96 | Remaining:00:08.65 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 430/510 Tiles, Denoised 393 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.02 | Remaining:00:08.51 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 431/510 Tiles, Denoised 393 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.03 | Remaining:00:08.49 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 432/510 Tiles, Denoised 393 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:44.11 | Remaining:00:08.48 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 432/510 Tiles, Denoised 394 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.16 | Remaining:00:08.42 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 432/510 Tiles, Denoised 395 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.17 | Remaining:00:08.37 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 432/510 Tiles, Denoised 396 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.18 | Remaining:00:08.30 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 433/510 Tiles, Denoised 396 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.22 | Remaining:00:08.18 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 434/510 Tiles, Denoised 396 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:44.24 | Remaining:00:08.16 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 435/510 Tiles, Denoised 396 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.29 | Remaining:00:08.15 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 435/510 Tiles, Denoised 397 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.34 | Remaining:00:08.06 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 436/510 Tiles, Denoised 397 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.47 | Remaining:00:08.06 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 436/510 Tiles, Denoised 398 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.53 | Remaining:00:07.97 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 437/510 Tiles, Denoised 398 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.63 | Remaining:00:07.96 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 437/510 Tiles, Denoised 399 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.68 | Remaining:00:07.87 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 438/510 Tiles, Denoised 399 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:44.72 | Remaining:00:07.86 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 438/510 Tiles, Denoised 400 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.72 | Remaining:00:07.83 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 438/510 Tiles, Denoised 401 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.77 | Remaining:00:07.67 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 439/510 Tiles, Denoised 401 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.78 | Remaining:00:07.65 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 440/510 Tiles, Denoised 401 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.88 | Remaining:00:07.64 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 440/510 Tiles, Denoised 402 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:44.92 | Remaining:00:07.60 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 440/510 Tiles, Denoised 403 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:44.94 | Remaining:00:07.48 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 441/510 Tiles, Denoised 403 tiles
Fra:1 Mem:149.58M (0.00M, Peak 150.87M) | Time:00:44.96 | Remaining:00:07.44 | Mem:71.02M, Peak:72.17M | Scene, View Layer | Rendered 442/510 Tiles, Denoised 403 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:44.97 | Remaining:00:07.42 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 442/510 Tiles, Denoised 404 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.01 | Remaining:00:07.33 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 443/510 Tiles, Denoised 404 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:45.06 | Remaining:00:07.31 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 443/510 Tiles, Denoised 405 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.12 | Remaining:00:07.22 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 444/510 Tiles, Denoised 405 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:45.26 | Remaining:00:07.22 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 444/510 Tiles, Denoised 406 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.33 | Remaining:00:07.14 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 445/510 Tiles, Denoised 406 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:45.39 | Remaining:00:07.12 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 445/510 Tiles, Denoised 407 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.45 | Remaining:00:07.04 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 446/510 Tiles, Denoised 407 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.47 | Remaining:00:07.02 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 446/510 Tiles, Denoised 408 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:45.49 | Remaining:00:06.97 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 446/510 Tiles, Denoised 409 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.51 | Remaining:00:06.86 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 447/510 Tiles, Denoised 409 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.55 | Remaining:00:06.81 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 448/510 Tiles, Denoised 409 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.62 | Remaining:00:06.80 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 448/510 Tiles, Denoised 410 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:45.64 | Remaining:00:06.76 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 448/510 Tiles, Denoised 411 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.67 | Remaining:00:06.67 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 449/510 Tiles, Denoised 411 tiles
Fra:1 Mem:149.08M (0.00M, Peak 150.87M) | Time:00:45.70 | Remaining:00:06.58 | Mem:70.52M, Peak:72.17M | Scene, View Layer | Rendered 449/510 Tiles, Denoised 412 tiles
Fra:1 Mem:149.72M (0.00M, Peak 150.87M) | Time:00:45.71 | Remaining:00:06.55 | Mem:71.17M, Peak:72.17M | Scene, View Layer | Rendered 450/510 Tiles, Denoised 412 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:45.75 | Remaining:00:06.49 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 451/510 Tiles, Denoised 412 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:45.80 | Remaining:00:06.47 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 451/510 Tiles, Denoised 413 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:45.85 | Remaining:00:06.39 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 452/510 Tiles, Denoised 413 tiles
Fra:1 Mem:149.05M (0.00M, Peak 150.87M) | Time:00:46.01 | Remaining:00:06.38 | Mem:70.49M, Peak:72.17M | Scene, View Layer | Rendered 452/510 Tiles, Denoised 414 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.08 | Remaining:00:06.30 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 453/510 Tiles, Denoised 414 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:46.14 | Remaining:00:06.28 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 453/510 Tiles, Denoised 415 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:46.18 | Remaining:00:06.20 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 453/510 Tiles, Denoised 416 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.20 | Remaining:00:06.15 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 454/510 Tiles, Denoised 416 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:46.24 | Remaining:00:06.09 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 454/510 Tiles, Denoised 417 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.24 | Remaining:00:06.06 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 455/510 Tiles, Denoised 417 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.29 | Remaining:00:05.98 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 456/510 Tiles, Denoised 417 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:46.36 | Remaining:00:05.96 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 456/510 Tiles, Denoised 418 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.41 | Remaining:00:05.90 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 456/510 Tiles, Denoised 419 tiles
Fra:1 Mem:148.56M (0.00M, Peak 150.87M) | Time:00:46.42 | Remaining:00:05.83 | Mem:70.01M, Peak:72.17M | Scene, View Layer | Rendered 456/510 Tiles, Denoised 420 tiles
Fra:1 Mem:149.06M (0.00M, Peak 150.87M) | Time:00:46.43 | Remaining:00:05.79 | Mem:70.51M, Peak:72.17M | Scene, View Layer | Rendered 457/510 Tiles, Denoised 420 tiles
Fra:1 Mem:148.92M (0.00M, Peak 150.87M) | Time:00:46.48 | Remaining:00:05.68 | Mem:70.36M, Peak:72.17M | Scene, View Layer | Rendered 458/510 Tiles, Denoised 420 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.49 | Remaining:00:05.65 | Mem:70.86M, Peak:72.17M | Scene, View Layer | Rendered 459/510 Tiles, Denoised 420 tiles
Fra:1 Mem:149.42M (0.00M, Peak 150.87M) | Time:00:46.54 | Remaining:00:05.59 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 459/510 Tiles, Denoised 421 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:46.56 | Remaining:00:05.55 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 460/510 Tiles, Denoised 421 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:46.80 | Remaining:00:05.55 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 460/510 Tiles, Denoised 422 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:46.86 | Remaining:00:05.47 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 461/510 Tiles, Denoised 422 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:46.89 | Remaining:00:05.45 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 461/510 Tiles, Denoised 423 tiles
Fra:1 Mem:149.93M (0.00M, Peak 150.87M) | Time:00:46.90 | Remaining:00:05.40 | Mem:71.37M, Peak:72.17M | Scene, View Layer | Rendered 461/510 Tiles, Denoised 424 tiles
Fra:1 Mem:148.93M (0.00M, Peak 150.87M) | Time:00:46.93 | Remaining:00:05.31 | Mem:70.37M, Peak:72.17M | Scene, View Layer | Rendered 461/510 Tiles, Denoised 425 tiles
Fra:1 Mem:149.43M (0.00M, Peak 150.87M) | Time:00:46.94 | Remaining:00:05.25 | Mem:70.87M, Peak:72.17M | Scene, View Layer | Rendered 462/510 Tiles, Denoised 425 tiles
